time,token,volume_usdc,buy_place,token_amount,buy_slippage,sell_place,usdc_back,sell_slippage,profit_usd,profit_percent,backup_place,backup_usdc_back,backup_profit_percent
2026-04-28 23:38:54,stMATIC,5000,Odos,47296.36867517661,0.1719,KyberSwap,4876.3667,1.1175,-123.7243,-2.4745,0x/Matcha,4870.5832,-2.5893
2026-04-28 23:39:09,LDO,5000,Odos,12714.656898941372,0.693,KyberSwap,4882.8727,0.4177,-117.243,-2.3449,0x/Matcha,4876.005,-2.4816
2026-04-28 23:40:15,WETH,5000,KyberSwap,2.1835579147292825,0.0034,Odos,4996.5535,0.0016,-3.4662,-0.0693,ParaSwap,4995.7544,-0.0856
2026-04-28 23:40:25,WBTC,5000,ParaSwap,0.06564984,0.004,Odos,4995.5293,0.0115,-4.5089,-0.0902,KyberSwap,4995.2013,-0.0964
2026-04-28 23:40:44,AAVE,5000,KyberSwap,51.52422176532759,0.1525,Odos,4962.3293,0.0751,-37.7671,-0.7553,ParaSwap,4960.8405,-0.7839
2026-04-28 23:40:56,UNI,5000,Odos,1521.1343540482483,0.6107,KyberSwap,4891.938,0.4782,-108.2304,-2.1646,0x/Matcha,4885.98,-2.2832
2026-04-28 23:41:07,LINK,5000,KyberSwap,539.161326612995,0.1747,Odos,4973.7351,0.0649,-26.3684,-0.5274,ParaSwap,4972.8206,-0.5447
2026-04-28 23:41:25,WMATIC,5000,ParaSwap,54378.53811527666,-0.0119,KyberSwap,4995.4385,0.0036,-4.5888,-0.0918,Odos,4993.9865,-0.1211
2026-04-28 23:41:34,DAI,5000,KyberSwap,5000.370241795283,0.0004,Odos,4999.5883,0.0007,-0.4312,-0.0086,ParaSwap,4999.3961,-0.0127
2026-04-28 23:41:58,stMATIC,5000,Odos,47259.550042233386,0.1843,KyberSwap,4875.7906,1.0998,-124.3253,-2.4865,0x/Matcha,4868.2766,-2.6362
2026-04-28 23:42:09,LDO,5000,Odos,12727.19088003989,0.7091,KyberSwap,4883.8688,0.3871,-116.2745,-2.3255,0x/Matcha,4876.3046,-2.4764
2026-04-28 23:43:11,WETH,5000,ParaSwap,2.1827203284728283,-0.0059,KyberSwap,4995.6717,0.0017,-4.3386,-0.0868,Odos,4995.6301,-0.0877
2026-04-28 23:43:19,WBTC,5000,ParaSwap,0.06564857,0.0028,KyberSwap,4997.6356,-0.0477,-2.3749,-0.0475,Odos,4995.0845,-0.0988
2026-04-28 23:43:30,AAVE,5000,Odos,51.524586040192695,0.173,KyberSwap,4961.8438,0.0792,-38.2538,-0.7651,ParaSwap,4960.7818,-0.7865
2026-04-28 23:43:42,UNI,5000,Odos,1521.646979298687,0.6081,KyberSwap,4892.6084,0.4746,-107.5888,-2.1518,0x/Matcha,4886.8088,-2.2672
2026-04-28 23:43:52,LINK,5000,Odos,539.4279911036075,0.1862,KyberSwap,4974.5566,0.0565,-25.5205,-0.5104,ParaSwap,4973.2601,-0.5365
2026-04-28 23:44:14,WMATIC,5000,KyberSwap,54372.119075045295,0.0138,Odos,4993.3737,0.0092,-6.725,-0.1345,ParaSwap,4992.9849,-0.141
2026-04-28 23:44:26,DAI,5000,KyberSwap,5000.3899950130135,0.0003,Odos,4999.6172,0.0007,-0.4258,-0.0085,ParaSwap,4999.4848,-0.011
2026-04-28 23:44:55,stMATIC,5000,Odos,47280.46646525869,0.1912,KyberSwap,4874.9238,1.1223,-125.16,-2.5032,0x/Matcha,4869.1054,-2.6189
